Names, Units, Usually Offered In: , Additional Information 
BIOL 181. Seminar in Cellular and Molecular Biology,Units: 1,Spring,
BIOL 189T. Topics in Biology,Units: 1-4,,Repeatable up to 6 units
BIOL 189T. Biology Teaching and Outreach,Units: 3,,
BIOL 189T. Graphic Design for Scientists,Units: 2,,
BIOL 189T. High Altitude Biology,Units: 3,,
BIOL 189T. Pre-Health Perspective and Seminar,Units: 1,,
BIOL 189T. Introduction to Biological Computing,Units: 3,,
BIOL 190. Independent Study,Units: 1-3,Fall / Spring,Repeatable up to 6 units
BIOL 199H. Honors Thesis in Biology,Units: 3,Fall / Spring,
BIOL 204. Biology of Speciation,Units: 2,,
BIOL 208. Biological Field Studies,Units: 1-6,,
BIOL 224. Evolutionary Developmental Biology,Units: 3,,
BIOL 225. Molecular Evolution,Units: 3,,
BIOL 230. Foundations of Ecology,Units: 2,,
BIOL 240. Systems Ecology,Units: 3,,
BIOL 241A. Molecular Biology I,Units: 3,,
BIOL 241B. Molecular Biology II,Units: 3,,
BIOL 242. Techniques in Protein Purification and Analysis,Units: 3,,
BIOL 243. Nucleic Acid Technology Lab,Units: 3,,
BIOL 244. Cell Culture Techniques,Units: 3,,
BIOL 245. Industrial Biotechnology,Units: 3,,
BIOL 248. Seminar in Molecular Biology and Biotechnology,Units: 1-2,,
BIOL 250. Scientific Writing,Units: 3,,
BIOL 251. Experimental Design for Biologists,Units: 3,,
BIOL 255T. Topics in Botany,Units: 1-3,,Repeatable up to 9 units
BIOL 256. Plant Development Genetics,Units: 3,Fall,Repeatable up to 9 units
BIOL 260T. Topics in Biology,Units: 1-3,,Repeatable up to 9 units
BIOL 260T. Graphic Design for Scientists,Units: 2,,
BIOL 260T. Introduction to Biological Computing,Units: 3,,
BIOL 260T. Molecular Phylogenetics and Evolution,Units: 2,,Repeatable up to 8 units
BIOL 265T. Topics in Physiology,Units: 1-3,,Repeatable up to 9 units
BIOL 266. Neuroethology,Units: 3,,
BIOL 267. Behavioral Endocrinology,Units: 3,,
BIOL 270T. Topics in Zoology,Units: 1-3,,Repeatable up to 9 units
BIOL 272. College Science Teaching,Units: 3,,
BIOL 273. Applied Bioethics,Units: 1,Spring,
BIOL 274. Biostatistics & Experimental Design,Units: 3,,
BIOL 275. Biogeography,Units: 3,,
BIOL 276. Biology of Climate Change,Units: 3,Spring,
BIOL 280. Biology Colloquium,Units: 1,Fall / Spring,Repeatable up to 2 units
BIOL 281. Seminar in Biological Science,Units: 1-2,,Repeatable up to 3 units
BIOL 290. Independent Study,Units: 1-3,,Repeatable up to 6 units
BIOL 295. Research,Units: 2-6,,
BIOL 298C. Project Continuation,Units: 0,,
BIOL 299. Thesis,Units: 2-4,,
BIOL 299C. Thesis Continuation,Units: 0,,
BIOTC 275. Biotechnology Industrial Experience,Units: 3,,
BIOTC 298. Biotechnology Culminating Project,Units: 4,,
BIOTC 298C. Project Continuation,Units: 0,,
BIOTC 299. Thesis,Units: 4,,
BIOTC 299C. Thesis Continuation,Units: 0,,
CI 161. Methods and Materials for Teaching Science,Units: 3,,
EHD 154B. Final Student Teaching Seminar - Biology,Units: 1,,
EHD 155B. Student Teaching - Biology,Units: 5-10,Fall / Spring,Repeatable up to 20 units
